General 499	MSE 31.8117
(((x05*3,141593)+exp(exp(sin(x05))))-1/(sin(ln(x11))-(exp((x06*1/(1/(x10)))-exp(x05))*ln(x03))))
24	24.4497
21.6	23.3217
34.7	34.7984
33.4	32.1749
36.2	34.333
28.7	23.3825
22.9	21.0363
27.1	21.8372
16.5	19.415
18.9	20.9986
15	23.0327
18.9	21.0221
21.7	20.4769
20.4	20.7445
18.2	21.4449
19.9	20.2393
23.1	20.6812
17.5	20.933
20.2	18.755
18.2	19.7956
13.6	19.1804
19.6	20.8175
15.2	21.6796
14.5	20.1504
15.6	20.6319
13.9	19.2913
16.6	20.1504
14.8	21.2036
18.4	23.8395
21	25.2887
12.7	19.7391
14.5	21.3257
13.2	20.7491
13.1	19.691
13.5	21.4449
18.9	20.6722
20	20.2692
21	20.3077
24.7	20.8221
30.8	27.9658
34.9	32.5473
26.6	29.3005
25.3	24.87
24.7	25.371
21.2	21.3109
19.3	19.6153
20	20.0374
16.6	21.1218
14.4	18.5478
19.4	19.3028
19.7	20.8083
20.5	21.5408
25	27.3464
23.4	24.3597
18.9	20.4725
35.4	35.8758
24.7	23.0714
31.6	29.9642
23.3	21.6952
19.6	20.6453
18.7	19.8524
16	20.8221
22.2	23.5614
25	30.3082
33	33.602
23.5	25.8869
19.4	20.0416
22	20.4288
17.4	19.2721
20.9	20.4594
24.2	26.352
21.7	23.7068
22.8	24.5219
23.4	25.15
24.1	25.7334
21.4	22.474
20	22.433
20.8	21.6692
21.2	22.1644
20.3	20.4114
28	29.1703
23.9	24.8104
24.8	22.5687
22.9	21.8107
23.9	23.1102
26.6	24.9035
22.5	21.0504
22.2	21.5714
23.6	28.966
28.7	33.3195
22.6	23.2949
22	23.2151
22.9	23.4645
25	22.048
20.6	22.2603
28.4	24.861
21.4	21.7895
38.7	42.9838
43.8	42.9961
33.2	38.5506
27.5	25.7809
26.5	26.3162
18.6	23.2151
19.3	21.6536
20.1	21.8107
19.5	20.312
19.5	20.2478
20.4	21.6021
19.8	23.6883
19.4	22.1477
21.7	21.9607
22.8	25.6667
18.8	20.5828
18.7	21.4249
18.5	22.2887
18.3	20.6498
21.2	21.8585
19.2	21.0789
20.4	20.4027
19.3	19.8117
22	20.394
20.3	20.9986
20.5	20.7992
17.3	20.3335
18.8	20.4332
21.4	20.9144
15.7	19.3452
16.2	19.659
18	23.3893
14.3	19.4383
19.2	23.5754
19.6	22.7135
23	23.0007
18.4	20.1884
15.6	19.9177
18.1	22.7687
17.4	20.7128
17.1	23.5475
13.3	20.3378
17.8	21.7265
14	21.8478
14.4	17.2379
13.4	21.9516
15.6	18.7991
11.8	16.8576
13.8	21.6175
15.6	19.4033
14.6	16.9324
17.8	17.8002
15.4	19.2836
21.5	21.5765
19.6	18.5659
15.3	19.5396
19.4	19.723
17	23.6547
15.6	22.7599
13.1	18.0974
41.3	28.1459
24.3	21.2962
23.3	23.9497
27	24.5303
50	39.1261
50	42.8074
50	40.2904
22.7	20.3249
25	21.47
50	42.7029
23.8	20.4244
23.8	22.6709
22.3	23.1953
17.4	20.4157
19.1	20.4375
23.1	19.188
23.6	23.2882
22.6	20.3464
29.4	27.4538
23.2	21.0742
24.6	22.6467
29.9	27.1651
37.2	32.0026
39.8	42.7396
36.2	21.6899
37.9	31.0635
32.5	24.3545
26.4	19.3105
29.6	21.7369
50	43.02
32	29.6338
29.8	27.3363
34.9	34.9077
